id,user_id,title,priority,status,deadline,category,tags,created_at
a91f3c82,106056586,بررسی پرونده بیماران نوبت صبح,high,pending,2026-08-03,پذیرش,بیمار-نوبت-روزانه-پرونده,2026-08-01 08:15
b72d9e41,106056586,هماهنگی جلسه هفتگی پزشکان کلینیک,medium,in_progress,2026-08-05,مدیریت,جلسه-پزشکان-برنامه‌ریزی,2026-08-02 09:20
c84a1f59,106056586,پیگیری جواب آزمایش بیماران بخش روانپزشکی,high,pending,2026-08-04,آزمایشگاه,آزمایش-پیگیری-بیمار,2026-08-03 10:30
d65e8b23,106056586,ثبت گزارش عملکرد ماهانه کلینیک,medium,pending,2026-08-10,مدیریت,گزارش-عملکرد-ماهانه,2026-08-05 08:30
e93c7a10,106056586,بررسی موجودی داروهای روانپزشکی و تجهیزات پزشکی,high,pending,2026-08-09,داروخانه,دارو-انبار-تجهیزات,2026-08-05 08:35
f41b2d68,106056586,تماس با بیماران برای یادآوری نوبت ویزیت,low,pending,2026-08-06,پذیرش,تماس-یادآوری-نوبت,2026-08-05 08:40
g52c9e74,106056586,به‌روزرسانی پرونده الکترونیک بیماران,medium,in_progress,2026-08-12,IT,پرونده-الکترونیک-سامانه,2026-08-05 08:45
h73d1a95,106056586,جلسه بررسی رضایت بیماران و کیفیت خدمات,medium,pending,2026-08-15,مدیریت,رضایت-سنجی-بازخورد,2026-08-05 08:50
i84e2b36,106056586,تعمیر دستگاه نوار مغز و تجهیزات تشخیصی,high,pending,2026-08-11,تجهیزات پزشکی,تعمیر-نگهداری-دستگاه,2026-08-05 08:55
j95f3c47,106056586,آموزش پرسنل پذیرش جدید کلینیک,low,pending,2026-08-20,منابع انسانی,آموزش-کارکنان-پذیرش,2026-08-05 09:00
k16a4d58,106056586,بررسی قرارداد بیمه‌های درمانی و همکاری سازمان‌ها,high,in_progress,2026-08-14,مالی,بیمه-قرارداد-درمان,2026-08-05 09:05
l27b5e69,106056586,تهیه گزارش مالی و هزینه‌های جاری کلینیک,medium,pending,2026-08-18,مالی,حسابداری-گزارش-هزینه,2026-08-05 09:10
m38c6f70,106056586,کنترل کیفیت خدمات روانشناسی و روانپزشکی,high,pending,2026-08-22,کنترل کیفیت,کیفیت-درمان-ارزیابی,2026-08-05 09:15
n49d7a81,106056586,برنامه‌ریزی شیفت پزشکان و پرستاران,medium,pending,2026-08-13,منابع انسانی,شیفت-پزشک-پرستار,2026-08-05 09:20
o50e8b92,106056586,پیگیری شکایات و درخواست‌های بیماران,high,pending,2026-08-16,مدیریت,شکایت-بیمار-پیگیری,2026-08-05 09:25
p61f9c03,106056586,بازبینی برنامه درمان بیماران مزمن,high,in_progress,2026-08-07,درمان,برنامه-درمانی-بیمار,2026-08-05 09:30
q72a0d14,106056586,تنظیم برنامه جلسات روانشناسی هفته آینده,medium,pending,2026-08-25,روانشناسی,جلسه-مشاوره-تقویم,2026-08-05 09:35
r83b1e25,106056586,بررسی امنیت اطلاعات پرونده بیماران,high,pending,2026-08-28,IT,امنیت-اطلاعات-بیمار,2026-08-05 09:40
s94c2f36,106056586,جمع‌آوری فرم‌های رضایت‌نامه بیماران,low,pending,2026-08-01,پذیرش,فرم-رضایت-بیمار,2026-08-05 09:45
t05d3g47,106056586,جلسه آموزش مدیریت استرس برای کارکنان,low,pending,2026-09-01,آموزش,سلامت-کارکنان-آموزش,2026-08-05 09:50
a91f3c82,106056586,بررسی پرونده بیماران نوبت صبح,high,pending,2026-08-03,پذیرش,بیمار-نوبت-روزانه-پرونده,2026-08-01 08:15
b72d9e41,106056586,هماهنگی جلسه هفتگی پزشکان کلینیک,medium,in_progress,2026-08-05,مدیریت,جلسه-پزشکان-برنامه‌ریزی,2026-08-02 09:20
c84a1f59,106056586,پیگیری جواب آزمایش بیماران بخش روانپزشکی,high,pending,2026-08-04,آزمایشگاه,آزمایش-پیگیری-بیمار,2026-08-03 10:30
d65e8b23,106056586,ثبت گزارش عملکرد ماهانه کلینیک,medium,pending,2026-08-10,مدیریت,گزارش-عملکرد-ماهانه,2026-08-05 08:30
e93c7a10,106056586,بررسی موجودی داروهای روانپزشکی و تجهیزات پزشکی,high,pending,2026-08-09,داروخانه,دارو-انبار-تجهیزات,2026-08-05 08:35
f41b2d68,106056586,تماس با بیماران برای یادآوری نوبت ویزیت,low,pending,2026-08-06,پذیرش,تماس-یادآوری-نوبت,2026-08-05 08:40
g52c9e74,106056586,به‌روزرسانی پرونده الکترونیک بیماران,medium,in_progress,2026-08-12,IT,پرونده-الکترونیک-سامانه,2026-08-05 08:45
h73d1a95,106056586,جلسه بررسی رضایت بیماران و کیفیت خدمات,medium,pending,2026-08-15,مدیریت,رضایت-سنجی-بازخورد,2026-08-05 08:50
i84e2b36,106056586,تعمیر دستگاه نوار مغز و تجهیزات تشخیصی,high,pending,2026-08-11,تجهیزات پزشکی,تعمیر-نگهداری-دستگاه,2026-08-05 08:55
j95f3c47,106056586,آموزش پرسنل پذیرش جدید کلینیک,low,pending,2026-08-20,منابع انسانی,آموزش-کارکنان-پذیرش,2026-08-05 09:00
k16a4d58,106056586,بررسی قرارداد بیمه‌های درمانی و همکاری سازمان‌ها,high,in_progress,2026-08-14,مالی,بیمه-قرارداد-درمان,2026-08-05 09:05
l27b5e69,106056586,تهیه گزارش مالی و هزینه‌های جاری کلینیک,medium,pending,2026-08-18,مالی,حسابداری-گزارش-هزینه,2026-08-05 09:10
m38c6f70,106056586,کنترل کیفیت خدمات روانشناسی و روانپزشکی,high,pending,2026-08-22,کنترل کیفیت,کیفیت-درمان-ارزیابی,2026-08-05 09:15
n49d7a81,106056586,برنامه‌ریزی شیفت پزشکان و پرستاران,medium,pending,2026-08-13,منابع انسانی,شیفت-پزشک-پرستار,2026-08-05 09:20
o50e8b92,106056586,پیگیری شکایات و درخواست‌های بیماران,high,pending,2026-08-16,مدیریت,شکایت-بیمار-پیگیری,2026-08-05 09:25
p61f9c03,106056586,بازبینی برنامه درمان بیماران مزمن,high,in_progress,2026-08-07,درمان,برنامه-درمانی-بیمار,2026-08-05 09:30
q72a0d14,106056586,تنظیم برنامه جلسات روانشناسی هفته آینده,medium,pending,2026-08-25,روانشناسی,جلسه-مشاوره-تقویم,2026-08-05 09:35
r83b1e25,106056586,بررسی امنیت اطلاعات پرونده بیماران,high,pending,2026-08-28,IT,امنیت-اطلاعات-بیمار,2026-08-05 09:40
s94c2f36,106056586,جمع‌آوری فرم‌های رضایت‌نامه بیماران,low,pending,2026-08-01,پذیرش,فرم-رضایت-بیمار,2026-08-05 09:45
t05d3g47,106056586,جلسه آموزش مدیریت استرس برای کارکنان,low,pending,2026-09-01,آموزش,سلامت-کارکنان-آموزش,2026-08-05 09:50
